time_s,speed_rpm,current_A,back_emf_V,T_em_Nm,T_fan_Nm,P_fan_out_W,P_copper_W,P_eddy_W,P_hysteresis_W,P_mec_W,P_in_W,efficiency
0.01630,3529.27,0.00000,0.54734,0.000000,0.002909,1.075106,0.000000,0.004114,0.003124,2.929888,0.000000,0.0000
0.01640,3642.09,14.82794,0.53041,0.021280,0.002732,1.041923,533.660428,0.004381,0.003223,2.933597,44.483830,0.0234
0.01650,3529.47,0.00000,0.54737,0.000000,0.002909,1.075294,0.000000,0.004114,0.003124,2.930223,0.000000,0.0000
0.01660,3642.29,14.82776,0.53044,0.021280,0.002732,1.042099,533.647143,0.004381,0.003224,2.933917,44.483277,0.0234
0.01670,3529.66,0.00000,0.54740,0.000000,0.002910,1.075465,0.000000,0.004115,0.003124,2.930528,0.000000,0.0000
0.01680,3642.46,14.82759,0.53047,0.021280,0.002732,1.042260,533.635024,0.004382,0.003224,2.934209,44.482771,0.0234
0.01690,3529.83,0.00000,0.54742,0.000000,0.002910,1.075621,0.000000,0.004115,0.003124,2.930806,0.000000,0.0000
0.01700,3642.62,14.82744,0.53050,0.021280,0.002733,1.042407,533.623968,0.004382,0.003224,2.934475,44.482311,0.0234
0.01710,3529.98,0.00000,0.54745,0.000000,0.002910,1.075764,0.000000,0.004115,0.003124,2.931060,0.000000,0.0000
0.01720,3642.77,14.82730,0.53052,0.021280,0.002733,1.042541,533.613881,0.004382,0.003224,2.934718,44.481890,0.0234
0.01730,3530.12,0.00000,0.54747,0.000000,0.002910,1.075894,0.000000,0.004116,0.003124,2.931292,0.000000,0.0000
0.01740,3642.91,14.82717,0.53054,0.021279,0.002733,1.042663,533.604680,0.004383,0.003224,2.934939,44.481507,0.0234
0.01750,3530.25,0.00000,0.54749,0.000000,0.002911,1.076013,0.000000,0.004116,0.003124,2.931503,0.000000,0.0000
0.01760,3643.03,14.82705,0.53056,0.021279,0.002733,1.042774,533.596285,0.004383,0.003224,2.935141,44.481157,0.0234
0.01770,3530.37,0.00000,0.54751,0.000000,0.002911,1.076121,0.000000,0.004116,0.003125,2.931696,0.000000,0.0000
0.01780,3643.14,14.82695,0.53058,0.021279,0.002734,1.042876,533.588627,0.004383,0.003224,2.935326,44.480838,0.0234
0.01790,3530.48,0.00000,0.54753,0.000000,0.002911,1.076220,0.000000,0.004116,0.003125,2.931872,0.000000,0.0000
0.01800,3643.24,14.82685,0.53059,0.021279,0.002734,1.042969,533.581641,0.004384,0.003224,2.935494,44.480546,0.0234
0.01810,3530.58,0.00000,0.54754,0.000000,0.002911,1.076311,0.000000,0.004117,0.003125,2.932033,0.000000,0.0000
0.01820,3643.33,14.82676,0.53061,0.021279,0.002734,1.043053,533.575268,0.004384,0.003224,2.935647,44.480281,0.0234
0.01830,3530.67,0.00000,0.54756,0.000000,0.002911,1.076393,0.000000,0.004117,0.003125,2.932179,0.000000,0.0000
0.01840,3643.42,14.82668,0.53062,0.021279,0.002734,1.043130,533.569453,0.004384,0.003225,2.935787,44.480038,0.0235
0.01850,3530.75,0.00000,0.54757,0.000000,0.002911,1.076468,0.000000,0.004117,0.003125,2.932313,0.000000,0.0000
0.01860,3643.50,14.82661,0.53064,0.021279,0.002734,1.043201,533.564149,0.004384,0.003225,2.935915,44.479817,0.0235
0.01870,3530.82,0.00000,0.54758,0.000000,0.002912,1.076536,0.000000,0.004117,0.003125,2.932435,0.000000,0.0000
0.01880,3643.57,14.82654,0.53065,0.021278,0.002734,1.043265,533.559310,0.004384,0.003225,2.936031,44.479616,0.0235
0.01890,3530.89,0.00000,0.54759,0.000000,0.002912,1.076599,0.000000,0.004117,0.003125,2.932546,0.000000,0.0000
0.01900,3643.63,14.82648,0.53066,0.021278,0.002734,1.043324,533.554896,0.004385,0.003225,2.936138,44.479432,0.0235
0.01910,3530.95,0.00000,0.54760,0.000000,0.002912,1.076656,0.000000,0.004118,0.003125,2.932647,0.000000,0.0000
0.01920,3643.69,14.82642,0.53067,0.021278,0.002734,1.043377,533.550869,0.004385,0.003225,2.936235,44.479264,0.0235
0.01930,3531.01,0.00000,0.54761,0.000000,0.002912,1.076708,0.000000,0.004118,0.003125,2.932740,0.000000,0.0000
0.01940,3643.74,14.82637,0.53067,0.021278,0.002735,1.043426,533.547195,0.004385,0.003225,2.936323,44.479111,0.0235
0.01950,3531.06,0.00000,0.54762,0.000000,0.002912,1.076755,0.000000,0.004118,0.003125,2.932824,0.000000,0.0000
0.01960,3643.79,14.82632,0.53068,0.021278,0.002735,1.043471,533.543843,0.004385,0.003225,2.936404,44.478971,0.0235
0.01970,3531.11,0.00000,0.54762,0.000000,0.002912,1.076799,0.000000,0.004118,0.003125,2.932901,0.000000,0.0000
0.01980,3643.84,14.82628,0.53069,0.021278,0.002735,1.043511,533.540786,0.004385,0.003225,2.936477,44.478844,0.0235
0.01990,3531.15,0.00000,0.54763,0.000000,0.002912,1.076838,0.000000,0.004118,0.003125,2.932971,0.000000,0.0000
0.02000,3643.88,14.82624,0.53070,0.021278,0.002735,1.043548,533.537996,0.004385,0.003225,2.936544,44.478727,0.0235
0.02010,3531.19,0.00000,0.54764,0.000000,0.002912,1.076874,0.000000,0.004118,0.003125,2.933036,0.000000,0.0000
0.02020,3643.92,14.82621,0.53070,0.021278,0.002735,1.043582,533.535452,0.004385,0.003225,2.936606,44.478621,0.0235
0.02030,3531.23,0.00000,0.54764,0.000000,0.002912,1.076907,0.000000,0.004118,0.003125,2.933094,0.000000,0.0000
0.02040,3643.95,14.82617,0.53071,0.021278,0.002735,1.043613,533.533130,0.004385,0.003225,2.936662,44.478524,0.0235
0.02050,3531.26,0.00000,0.54765,0.000000,0.002912,1.076937,0.000000,0.004118,0.003125,2.933147,0.000000,0.0000
0.02060,3643.98,14.82615,0.53071,0.021278,0.002735,1.043641,533.531013,0.004385,0.003225,2.936713,44.478436,0.0235
0.02070,3531.29,0.00000,0.54765,0.000000,0.002912,1.076964,0.000000,0.004118,0.003125,2.933196,0.000000,0.0000
0.02080,3644.01,14.82612,0.53072,0.021278,0.002735,1.043667,533.529081,0.004385,0.003225,2.936759,44.478356,0.0235
