Sequence,Volt,Volt,-3.00E-02,5.00E-05
349,-4.80E-01,-4.00E+00,,
350,-3.20E-01,-4.80E+00,,
351,-5.60E-01,-6.40E+00,,
352,-4.00E-01,-5.60E+00,,
353,-6.40E-01,-7.20E+00,,
354,-6.40E-01,-5.60E+00,,
355,-4.80E-01,-8.00E+00,,
356,-5.60E-01,-6.40E+00,,
357,-7.20E-01,-8.80E+00,,
358,-6.40E-01,-8.80E+00,,
359,-8.00E-01,-7.20E+00,,
360,-6.40E-01,-9.60E+00,,
361,-8.80E-01,-8.00E+00,,
362,-8.80E-01,-9.60E+00,,
363,-7.20E-01,-1.12E+01,,
364,-9.60E-01,-9.60E+00,,
365,-8.00E-01,-1.20E+01,,
366,-8.80E-01,-1.20E+01,,
367,-1.04E+00,-1.04E+01,,
368,-8.80E-01,-1.12E+01,,
369,-1.12E+00,-1.28E+01,,
370,-1.12E+00,-1.12E+01,,
371,-9.60E-01,-1.36E+01,,
372,-1.04E+00,-1.20E+01,,
373,-1.20E+00,-1.44E+01,,
374,-1.04E+00,-1.44E+01,,
375,-1.28E+00,-1.28E+01,,
376,-1.28E+00,-1.28E+01,,
377,-1.12E+00,-1.52E+01,,
378,-1.20E+00,-1.36E+01,,
379,-1.36E+00,-1.60E+01,,
380,-1.28E+00,-1.44E+01,,
381,-1.44E+00,-1.60E+01,,
382,-1.44E+00,-1.44E+01,,
383,-1.28E+00,-1.68E+01,,
384,-1.36E+00,-1.52E+01,,
385,-1.52E+00,-1.68E+01,,
386,-1.36E+00,-1.60E+01,,
387,-1.52E+00,-1.76E+01,,
388,-1.44E+00,-1.60E+01,,
389,-1.60E+00,-1.76E+01,,
390,-1.52E+00,-1.68E+01,,
391,-1.68E+00,-1.84E+01,,
392,-1.52E+00,-1.68E+01,,
393,-1.68E+00,-1.92E+01,,
394,-1.60E+00,-1.76E+01,,
395,-1.76E+00,-1.92E+01,,
396,-1.76E+00,-1.76E+01,,
397,-1.60E+00,-2.00E+01,,
398,-1.68E+00,-2.00E+01,,
399,-1.84E+00,-1.84E+01,,
400,-1.68E+00,-1.84E+01,,
401,-1.92E+00,-2.08E+01,,
402,-1.84E+00,-2.08E+01,,
403,-2.00E+00,-1.92E+01,,
404,-1.84E+00,-1.92E+01,,
405,-2.00E+00,-2.16E+01,,
406,-1.92E+00,-2.16E+01,,
407,-2.00E+00,-2.00E+01,,
408,-1.92E+00,-2.00E+01,,
409,-2.08E+00,-2.24E+01,,
410,-1.92E+00,-2.16E+01,,
411,-2.08E+00,-2.24E+01,,
412,-2.00E+00,-2.24E+01,,
413,-2.16E+00,-2.08E+01,,
414,-2.00E+00,-2.08E+01,,
415,-2.16E+00,-2.32E+01,,
416,-2.08E+00,-2.24E+01,,
417,-2.16E+00,-2.32E+01,,
418,-2.08E+00,-2.32E+01,,
419,-2.24E+00,-2.16E+01,,
420,-2.08E+00,-2.24E+01,,
421,-2.24E+00,-2.40E+01,,
422,-2.16E+00,-2.40E+01,,
423,-2.24E+00,-2.24E+01,,
424,-2.16E+00,-2.24E+01,,
425,-2.32E+00,-2.40E+01,,
426,-2.16E+00,-2.32E+01,,
427,-2.32E+00,-2.48E+01,,
428,-2.24E+00,-2.48E+01,,
429,-2.32E+00,-2.32E+01,,
430,-2.24E+00,-2.32E+01,,
431,-2.32E+00,-2.48E+01,,
432,-2.24E+00,-2.48E+01,,
433,-2.40E+00,-2.32E+01,,
434,-2.40E+00,-2.48E+01,,
435,-2.24E+00,-2.32E+01,,
436,-2.24E+00,-2.32E+01,,
437,-2.40E+00,-2.56E+01,,
438,-2.40E+00,-2.40E+01,,
439,-2.24E+00,-2.56E+01,,
440,-2.32E+00,-2.56E+01,,
441,-2.40E+00,-2.40E+01,,
442,-2.32E+00,-2.56E+01,,
443,-2.40E+00,-2.48E+01,,
444,-2.32E+00,-2.56E+01,,
445,-2.40E+00,-2.40E+01,,
446,-2.32E+00,-2.40E+01,,
447,-2.48E+00,-2.56E+01,,
448,-2.32E+00,-2.40E+01,,
449,-2.48E+00,-2.64E+01,,
450,-2.48E+00,-2.64E+01,,
451,-2.40E+00,-2.48E+01,,
452,-2.40E+00,-2.64E+01,,
453,-2.48E+00,-2.48E+01,,
454,-2.48E+00,-2.64E+01,,
455,-2.32E+00,-2.56E+01,,
456,-2.48E+00,-2.64E+01,,
457,-2.32E+00,-2.40E+01,,
458,-2.48E+00,-2.56E+01,,
459,-2.32E+00,-2.40E+01,,
460,-2.32E+00,-2.56E+01,,
461,-2.40E+00,-2.40E+01,,
462,-2.40E+00,-2.56E+01,,
463,-2.32E+00,-2.40E+01,,
464,-2.40E+00,-2.56E+01,,
465,-2.24E+00,-2.40E+01,,
466,-2.24E+00,-2.48E+01,,
467,-2.40E+00,-2.32E+01,,
468,-2.32E+00,-2.48E+01,,
469,-2.24E+00,-2.32E+01,,
470,-2.32E+00,-2.32E+01,,
471,-2.16E+00,-2.48E+01,,
472,-2.16E+00,-2.40E+01,,
473,-2.32E+00,-2.24E+01,,
474,-2.24E+00,-2.40E+01,,
475,-2.08E+00,-2.24E+01,,
476,-2.24E+00,-2.40E+01,,
477,-2.08E+00,-2.16E+01,,
478,-2.24E+00,-2.16E+01,,
479,-2.08E+00,-2.32E+01,,
480,-2.16E+00,-2.32E+01,,
481,-2.00E+00,-2.08E+01,,
482,-2.00E+00,-2.08E+01,,
483,-2.16E+00,-2.24E+01,,
484,-2.08E+00,-2.24E+01,,
485,-1.92E+00,-2.08E+01,,
486,-1.92E+00,-2.16E+01,,
487,-2.08E+00,-2.00E+01,,
488,-2.00E+00,-2.16E+01,,
489,-1.84E+00,-1.92E+01,,
490,-1.84E+00,-2.08E+01,,
491,-2.00E+00,-1.92E+01,,
492,-1.84E+00,-2.08E+01,,
493,-1.68E+00,-1.84E+01,,
494,-1.68E+00,-1.84E+01,,
495,-1.92E+00,-2.00E+01,,
496,-1.76E+00,-2.00E+01,,
497,-1.60E+00,-1.76E+01,,
498,-1.76E+00,-1.76E+01,,
499,-1.60E+00,-1.92E+01,,
500,-1.68E+00,-1.84E+01,,
501,-1.52E+00,-1.68E+01,,
502,-1.60E+00,-1.84E+01,,
503,-1.44E+00,-1.60E+01,,
504,-1.60E+00,-1.60E+01,,
505,-1.44E+00,-1.76E+01,,
506,-1.52E+00,-1.76E+01,,
507,-1.36E+00,-1.52E+01,,
508,-1.44E+00,-1.68E+01,,
509,-1.28E+00,-1.44E+01,,
510,-1.28E+00,-1.44E+01,,
511,-1.44E+00,-1.60E+01,,
512,-1.36E+00,-1.60E+01,,
513,-1.20E+00,-1.36E+01,,
514,-1.28E+00,-1.52E+01,,
515,-1.12E+00,-1.28E+01,,
516,-1.28E+00,-1.44E+01,,
517,-1.04E+00,-1.28E+01,,
518,-1.04E+00,-1.36E+01,,
519,-1.20E+00,-1.20E+01,,
520,-1.12E+00,-1.36E+01,,
521,-9.60E-01,-1.12E+01,,
522,-1.04E+00,-1.28E+01,,
523,-8.80E-01,-1.04E+01,,
524,-1.04E+00,-1.04E+01,,
525,-8.00E-01,-1.20E+01,,
526,-8.00E-01,-1.12E+01,,
527,-9.60E-01,-9.60E+00,,
528,-8.80E-01,-1.12E+01,,
529,-7.20E-01,-8.00E+00,,
530,-8.00E-01,-9.60E+00,,
531,-6.40E-01,-7.20E+00,,
532,-7.20E-01,-8.80E+00,,
533,-5.60E-01,-6.40E+00,,
534,-7.20E-01,-8.00E+00,,
535,-4.80E-01,-5.60E+00,,
536,-6.40E-01,-7.20E+00,,
537,-4.00E-01,-5.60E+00,,
538,-5.60E-01,-6.40E+00,,
539,-3.20E-01,-4.80E+00,,
540,-3.20E-01,-5.60E+00,,
541,-4.80E-01,-4.00E+00,,
542,-4.00E-01,-5.60E+00,,
543,-2.40E-01,-3.20E+00,,
544,-3.20E-01,-4.80E+00,,
545,-1.60E-01,-2.40E+00,,
546,-3.20E-01,-4.00E+00,,
547,-8.00E-02,-1.60E+00,,
548,-2.40E-01,-3.20E+00,,
549,0.00E+00,-8.00E-01,,
550,-1.60E-01,-2.40E+00,,
