X,CH1,Start,Increment
Sequence,Volt,-3.00E-02,5.00E-05
1051,5.04E+00,,
1052,4.92E+00,,
1053,5.04E+00,,
1054,5.00E+00,,
1055,4.92E+00,,
1056,4.92E+00,,
1057,5.04E+00,,
1058,5.00E+00,,
1059,4.92E+00,,
1060,4.92E+00,,
1061,5.00E+00,,
1062,5.00E+00,,
1063,4.92E+00,,
1064,5.04E+00,,
1065,4.92E+00,,
1066,4.92E+00,,
1067,5.00E+00,,
1068,4.92E+00,,
1069,5.04E+00,,
1070,5.00E+00,,
1071,4.92E+00,,
1072,5.00E+00,,
1073,4.92E+00,,
1074,5.00E+00,,
1075,4.92E+00,,
1076,5.00E+00,,
1077,4.92E+00,,
1078,4.92E+00,,
1079,5.00E+00,,
1080,5.00E+00,,
1081,4.92E+00,,
1082,5.00E+00,,
1083,4.92E+00,,
1084,4.92E+00,,
1085,5.04E+00,,
1086,5.00E+00,,
1087,4.92E+00,,
1088,5.00E+00,,
1089,4.92E+00,,
1090,5.00E+00,,
1091,4.92E+00,,
1092,5.00E+00,,
1093,4.92E+00,,
1094,4.92E+00,,
1095,5.00E+00,,
1096,4.92E+00,,
1097,5.00E+00,,
1098,5.00E+00,,
1099,4.92E+00,,
1100,5.00E+00,,
1101,4.92E+00,,
1102,5.00E+00,,
1103,4.92E+00,,
1104,4.92E+00,,
1105,5.00E+00,,
1106,4.92E+00,,
1107,5.00E+00,,
1108,4.92E+00,,
1109,5.00E+00,,
1110,4.92E+00,,
1111,5.00E+00,,
1112,4.92E+00,,
1113,4.96E+00,,
1114,4.92E+00,,
1115,5.00E+00,,
1116,5.00E+00,,
1117,4.88E+00,,
1118,4.92E+00,,
1119,5.00E+00,,
1120,4.92E+00,,
1121,5.00E+00,,
1122,5.00E+00,,
1123,4.92E+00,,
1124,4.92E+00,,
1125,5.00E+00,,
1126,4.92E+00,,
1127,5.00E+00,,
1128,4.92E+00,,
1129,5.00E+00,,
1130,4.92E+00,,
1131,5.00E+00,,
1132,5.00E+00,,
1133,4.92E+00,,
1134,5.00E+00,,
1135,4.84E+00,,
1136,4.92E+00,,
1137,5.00E+00,,
1138,5.00E+00,,
1139,4.88E+00,,
1140,4.92E+00,,
1141,5.00E+00,,
1142,5.00E+00,,
1143,4.88E+00,,
1144,5.00E+00,,
1145,4.88E+00,,
1146,4.92E+00,,
1147,5.00E+00,,
1148,4.92E+00,,
1149,5.00E+00,,
1150,5.00E+00,,
1151,4.88E+00,,
1152,5.00E+00,,
1153,4.88E+00,,
1154,5.00E+00,,
1155,4.92E+00,,
1156,4.92E+00,,
1157,5.00E+00,,
1158,5.00E+00,,
1159,4.92E+00,,
1160,4.92E+00,,
1161,5.00E+00,,
1162,5.00E+00,,
1163,4.92E+00,,
1164,5.00E+00,,
1165,4.88E+00,,
1166,4.92E+00,,
1167,5.00E+00,,
1168,5.00E+00,,
1169,4.92E+00,,
1170,5.00E+00,,
1171,4.92E+00,,
1172,4.92E+00,,
1173,5.00E+00,,
1174,5.00E+00,,
1175,4.88E+00,,
1176,5.00E+00,,
1177,4.92E+00,,
1178,4.92E+00,,
1179,5.00E+00,,
1180,5.00E+00,,
1181,4.88E+00,,
1182,5.00E+00,,
1183,4.92E+00,,
1184,5.00E+00,,
1185,4.92E+00,,
1186,4.92E+00,,
1187,5.00E+00,,
1188,5.00E+00,,
1189,4.92E+00,,
1190,4.92E+00,,
1191,5.00E+00,,
1192,5.00E+00,,
1193,4.92E+00,,
1194,5.00E+00,,
1195,4.92E+00,,
1196,5.00E+00,,
1197,4.92E+00,,
1198,4.92E+00,,
1199,5.00E+00,,
